author,title,sub_title,org_title,org_sub_title,volume,publication_date,org_publication_year,print_format,pages,publisher,cover,language,language_iso,isbn-13,isbn-10,description
Douglas Adams,Ajöss Och Tack För Fisken,Liftarens guide till Galaxen 4,"So Long, and Thanks for All the Fish",,,,1988.0,,,Månpocket,placeholder.png,,,9789176424513.0,,
Douglas Adams,Dirk Gentlys Holistiska Detektivbyrå,,,,,,1989.0,Paperback,,Månpocket,placeholder.png,,,9789176424957.0,,
Douglas Adams,I Stort Sett Menlös,Liftarens guide till Galaxen 5,Mostly Harmless,,,,1993.0,Hardcover,,Bonnier Alba,placeholder.png,,,,9134514031,
Douglas Adams,Liftarens guide till galaxen,,,,,,,,,,placeholder.png,,,9789176424070.0,,
Douglas Adams,"Livet, universum och allting",,,,,,,,,,placeholder.png,,,9789176424339.0,,
Douglas Adams,Restaurangen Vid Slutet Av Universum,Liftarens guide till Galaxen 2,The Restaurant at the End of the Universe,,,,1988.0,,,Månpocket,placeholder.png,,,9789176424087.0,,
Douglas Adams,Tedags För Dystra Själar,,The Long Dark Tea-Time of the Soul,,,,1989.0,Hardcover,,ALBA,placeholder.png,,,,9174580752,
Ed McBain,Sista Dansen,,,,,,,,,,placeholder.png,,,9789143022667.0,,
Edgar Allan Poe,Guldbaggen,,,,,,1995.0,,,Fabel,placeholder.png,,,9789178421794.0,,
Eiji Yoshikawa,Musashi Samurajen,Bok 1: En Hjältes Väg,,,,,1990.0,Paperback,,PAN/Norstedt,placeholder.png,,,9789119017710.0,,
Eiji Yoshikawa,Musashi Samurajen,Bok 2: Svärdets Konst,,,,,1990.0,Paperback,,PAN/Norstedt,placeholder.png,,,9789119017819.0,,
Elisabet Hermodsson,Kvinnors Dikt Om Kärlek,,,,,,1993.0,Hardcover,,En bok for alla,placeholder.png,,,9789174487411.0,,
Elizabeth Moon,Dubbla Lojaliteter,Sagan Om Paksenarrion 2,,,,,1996.0,Hardcover,,Bonnier,placeholder.png,,,9789100562267.0,,
Elizabeth Moon,Fåraherdens Dotter,Sagan Om Paksenarrion 1,,,,,1995.0,Hardcover,,Bonnier,placeholder.png,,,9789100559663.0,,
Elizabeth Moon,Trohetsed,Sagan Om Paksenarrion 3,,,,,1996.0,Hardcover,,Bonnier,placeholder.png,,,9789100562274.0,,
Ellery Queen,Och På Åttonde Dagen...,,,,,,2001.0,,,Bonnier,placeholder.png,,,9789100576875.0,,
Ellis Peters,Djävulens Novis,,,,,,1995.0,Paperback,,Bonnier,placeholder.png,,,9789100560966.0,,
Ellis Peters,Ett Helgon Till Varje Pris,,,,,,1991.0,Paperback,,Bonnier,placeholder.png,,,9789100551711.0,,
Ellis Peters,Ett Lik För Mycket,,,,,,1992.0,Paperback,,Bonnier,placeholder.png,,,9789100555047.0,,
Ellis Peters,Ett Utsökt Mysterium,,,,,,1999.0,,,Bonnier,placeholder.png,,,9789100567460.0,,
Ellis Peters,Främlingen I Sankt Giles,,,,,,1994.0,Paperback,,Bonnier,placeholder.png,,,9789100557775.0,,
Ellis Peters,Gycklarens Nådatid,,,,,,1997.0,Paperback,,Bonnier,placeholder.png,,,9789100564407.0,,
Ellis Peters,Hatets Pilgrim,,,,,,1998.0,,,Bonnier,placeholder.png,,,9789100565299.0,,
Ellis Peters,Korpen I Klosterbyn,,,,,,1998.0,Paperback,,Bonnier,placeholder.png,,,9789100567095.0,,
Ellis Peters,Lösen För Den Döde,,,,,,1996.0,Paperback,,Bonnier,placeholder.png,,,9789100562038.0,,
Ellis Peters,Mördande Vinter,,,,,,1995.0,Paperback,,Bonnier,placeholder.png,,,9789100559953.0,,
Ellis Peters,Sankt Pers Marknad,,,,,,1993.0,Paperback,,Bonnier,placeholder.png,,,9789100556242.0,,
Eric Van Lustbader,Den Svarta Klingan,,,,,,1993.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132317644.0,,
Eric Van Lustbader,Det Bleka Helgonet,,,,,,1999.0,,,B. Wahlström,placeholder.png,,,9789132323645.0,,
Eric Van Lustbader,Det Fjärde Tecknet,,,,,,1997.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132321726.0,,
Eric Van Lustbader,Flytande Staden,,,,,,1995.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132319297.0,,
Eric Van Lustbader,Jian,,,,,,1988.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132314117.0,,
Eric Van Lustbader,Kaisho,,,,,,,Hardcover,,,placeholder.png,,,9789132318436.0,,
Eric Van Lustbader,Kshira,Det Mörka Ögat,,,,,1996.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132320965.0,,
Eric Van Lustbader,Miko,,,,,,1988.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132314315.0,,
Eric Van Lustbader,Nattens Nyckel,,,,,,1990.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132315190.0,,
Eric Van Lustbader,Ninja,,,,,,1991.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132313837.0,,
Eric Van Lustbader,Robert Ludlums Jason Bourne I Måltavla Jason Bourne,,,,,,2007.0,Paperback,,B. Wahlström,placeholder.png,,,9789132333880.0,,
Eric Van Lustbader,Rysk Gryning,,,,,,1992.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132316616.0,,
Eric Van Lustbader,Shan,,,,,,1989.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132314827.0,,
Eric Van Lustbader,Svart Hjärta,,,,,,1993.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132317446.0,,
Eric Van Lustbader,Vit Ninja,,,,,,1991.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132315848.0,,
Eric Van Lustbader,Zero,,,,,,1990.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132315435.0,,
