"Title","Sub Title","Author","Publisher","Publication Year","Original Title","Original Subtitle","Purchase Date","My rating","Cover","Categories","ISBN","Took","Notes","Format","Read It","Description"
"Guldbaggen","","Edgar Allan Poe","Fabel","1995","","","2016-06-18","0","","","9789178421794","","","","No",""
"Musashi Samurajen","Bok 1: En Hjältes Väg","Eiji Yoshikawa","PAN/Norstedt","1990","","","2016-06-18","0","","","9789119017710","","","Paperback","Yes",""
"Musashi Samurajen","Bok 2: Svärdets Konst","Eiji Yoshikawa","PAN/Norstedt","1990","","","2016-06-18","0","","","9789119017819","","","Paperback","Yes",""
"Kvinnors Dikt Om Kärlek","","Elisabet Hermodsson","En bok for alla","1993","","","2016-06-18","0","","","9789174487411","","","Hardcover","No",""
"Dubbla Lojaliteter","Sagan Om Paksenarrion 2","Elizabeth Moon","Bonnier","1996","","","2016-06-18","0","","","9789100562267","","","Hardcover","Yes",""
"Fåraherdens Dotter","Sagan Om Paksenarrion 1","Elizabeth Moon","Bonnier","1995","","","2016-06-18","0","","","9789100559663","","","Hardcover","Yes",""
"Trohetsed","Sagan Om Paksenarrion 3","Elizabeth Moon","Bonnier","1996","","","2016-06-18","0","","","9789100562274","","","Hardcover","Yes",""
"Och På Åttonde Dagen...","","Ellery Queen","Bonnier","2001","","","2016-06-18","0","","","9789100576875","","","","No",""
"Djävulens Novis","","Ellis Peters","Bonnier","1995","","","2016-06-18","0","","","9789100560966","","","Paperback","No",""
"Ett Helgon Till Varje Pris","","Ellis Peters","Bonnier","1991","","","2016-06-18","0","","","9789100551711","","","Paperback","Yes",""
"Ett Lik För Mycket","","Ellis Peters","Bonnier","1992","","","2016-06-18","0","","","9789100555047","","","Paperback","Yes",""
"Ett Utsökt Mysterium","","Ellis Peters","Bonnier","1999","","","2016-06-18","0","","","9789100567460","","","","No",""
"Främlingen I Sankt Giles","","Ellis Peters","Bonnier","1994","","","2016-06-18","0","","","9789100557775","","","Paperback","No",""
"Gycklarens Nådatid","","Ellis Peters","Bonnier","1997","","","2016-06-18","0","","","9789100564407","","","Paperback","No",""
"Hatets Pilgrim","","Ellis Peters","Bonnier","1998","","","2016-06-18","0","","","9789100565299","","","","No",""
"Korpen I Klosterbyn","","Ellis Peters","Bonnier","1998","","","2016-06-18","0","","","9789100567095","","","Paperback","No",""
"Lösen För Den Döde","","Ellis Peters","Bonnier","1996","","","2016-06-18","0","","","9789100562038","","","Paperback","No",""
"Mördande Vinter","","Ellis Peters","Bonnier","1995","","","2016-06-18","0","","","9789100559953","","","Paperback","No",""
"Sankt Pers Marknad","","Ellis Peters","Bonnier","1993","","","2016-06-18","0","","","9789100556242","","","Paperback","No",""
"Den Svarta Klingan","","Eric Van Lustbader","B. Wahlstrom","1993","","","2016-06-18","0","","","9789132317644","","","Hardcover","Yes",""
"Det Bleka Helgonet","","Eric Van Lustbader","B. Wahlstrom","1999","","","2016-06-18","0","","","9789132323645","","","","No",""
